trade_data_id,address,area,build-year,day,floor,main-num,name,price,sub-num,trade-type,year-and-month
255529,강원도 원주시 무실로 155,59.99,2000,30,4,802,성원,16300,0,중개거래,202212
255530,강원도 원주시 서원대로 306,59.945,1994,3,12,774,영진3,9200,0,중개거래,202212
255531,강원도 원주시 예술관길 32,49.94,1992,17,11,710,행운,8300,0,중개거래,202212
255532,강원도 원주시 예술관길 32,41.3,1992,24,4,710,행운,7000,0,중개거래,202212
255533,강원도 원주시 한지공원길 120,84.9768,,2,19,1921,더샵원주센트럴파크1단지,52500,0,중개거래,202212
255534,강원도 원주시 무실새골길 66,84.8876,2022,1,20,1922,더샵원주센트럴파크4단지,40000,0,중개거래,202212
255535,강원도 원주시 시청로 92,59.92,2003,8,16,1645,무실주공3단지,20000,0,중개거래,202212
255536,강원도 원주시 시청로 92,59.92,2003,16,4,1645,무실주공3단지,19000,0,중개거래,202212
255537,강원도 원주시 시청로 92,59.92,2003,22,19,1645,무실주공3단지,18500,0,중개거래,202212
255538,강원도 원주시 시청로 88,84.52,2001,3,15,1644,무실주공4단지,26000,0,중개거래,202212
255539,강원도 원주시 만대로 119,84.81,2010,20,1,1715,원주무실6단지휴먼시아,25000,1,직거래,202212
255540,강원도 원주시 무실로 382,84.9616,2014,1,12,1861,원주시무실세영리첼1차,35200,1,중개거래,202212
255541,강원도 원주시 무실로 382,84.9704,2014,4,10,1861,원주시무실세영리첼1차,35000,1,중개거래,202212
255542,강원도 원주시 무실로 382,84.9704,2014,7,5,1861,원주시무실세영리첼1차,34400,1,중개거래,202212
255543,강원도 원주시 무실로 382,84.9704,2014,15,11,1861,원주시무실세영리첼1차,36000,1,중개거래,202212
255544,강원도 원주시 무실로 382,84.9704,2014,19,11,1861,원주시무실세영리첼1차,35000,1,중개거래,202212
255545,강원도 원주시 문막읍 건등로 67,84.947,2008,3,6,1741,극동스타클래스,18650,1,중개거래,202212
255546,강원도 원주시 문막읍 건등로 27,59.5,1997,3,4,1697,삼익,8600,1,중개거래,202212
